PCX9M1, F_1, lcl|scaffold181_1, BLASTN, 0.0, 96.3320463320463, 499, 526, 518, 10, 29, 546, 1
PCX9M1, R_1, lcl|scaffold181_1, BLASTN, 0.0, 98.8546255506608, 1122, 1228, 1135, 7, 36832, 37962, 1
PCX9M3, F_1, lcl|scaffold55_2, BLASTN, 0.0, 95.9537572254335, 498, 524, 519, 6, 7270, 7786, 2
PCX9M3, R_1, lcl|scaffold21_1, BLASTN, 0.0, 98.2365145228216, 947, 970, 964, 8, 6, 961, 2
PCX9M5, F_1, lcl|scaffold239_1, BLASTN, 0.0, 98.7452948557089, 787, 805, 797, 10, 19068, 19863, 2
PCX9M5, R_1, lcl|scaffold244_1, BLASTN, 0.0, 97.914597815293, 986, 1012, 1007, 7, 16171, 17167, 2
PO3, F_1, lcl|scaffold42_1, BLASTN, 0.0, 99.4011976047904, 498, 570, 501, 70, 1, 500, 1
PO3, R_1, lcl|scaffold42_1, BLASTN, 0.0, 100, 361, 421, 361, 61, 32152, 32512, 1
RCX18, F_1, lcl|scaffold6_1, BLASTN, 0.0, 98.5309548793284, 939, 961, 953, 13, 4858, 5807, 2
RCX18, R_1, lcl|scaffold39_1, BLASTN, 0.0, 99.1279069767442, 1023, 1047, 1032, 14, 11, 1040, 2
RCX2, F_1, lcl|scaffold194_1, BLASTN, 0.0, 97.0443349753695, 985, 1075, 1015, 21, 40, 1051, 2
RCX2, R_1, lcl|scaffold43_2, BLASTN, 0.0, 98.8516746411483, 1033, 1076, 1045, 37, 2417, 3459, 2
RCX24, F_1, lcl|scaffold108_1, BLASTN, 0.0, 98.9987484355444, 791, 811, 799, 13, 42539, 43333, 1
RCX24, R_1, lcl|scaffold108_1, BLASTN, 0.0, 99.57805907173, 944, 956, 948, 9, 6, 952, 1
RCX28, F_1, lcl|scaffold43_1, BLASTN, 0.0, 97.4683544303797, 539, 561, 553, 12, 31, 583, 2
RCX28, R_1, lcl|scaffold43_2, BLASTN, 0.0, 98.8516746411483, 1033, 1076, 1045, 37, 2417, 3459, 2
RCX31, F_1, lcl|scaffold32_1, BLASTN, 0.0, 94.0119760479042, 785, 840, 835, 11, 34, 864, 1
RCX31, R_1, lcl|scaffold32_1, BLASTN, 0.0, 96.3404255319149, 1132, 1213, 1175, 27, 38452, 39615, 1
RCX32, F_1, lcl|scaffold206_1, BLASTN, 0.0, 99.6175908221797, 521, 538, 523, 16, 3419, 3941, 2
RCX32, R_1, lcl|scaffold88_1, BLASTN, 0.0, 98.8428158148505, 1025, 1045, 1037, 10, 14940, 15972, 2
RCX8, F_1, lcl|scaffold30_1, BLASTN, 0.0, 98.8593155893536, 780, 801, 789, 15, 37, 822, 1
RCX8, R_1, lcl|scaffold30_1, BLASTN, 0.0, 98.6761710794297, 969, 1005, 982, 24, 32913, 33893, 1
RCX92, F_1, lcl|scaffold2_1, BLASTN, 0.0, 97.5957257346394, 1096, 1169, 1123, 19, 37, 1147, 1
RCX92, R_1, lcl|scaffold2_1, BLASTN, 0.0, 98.22309970385, 995, 1039, 1013, 21, 33779, 34789, 1
Xyl_2, F_1, lcl|scaffold188_1, BLASTN, 1e-107, 97.7064220183486, 213, 218, 218, 1, 45, 262, 2
Xyl_2, R_1, lcl|scaffold61_1, BLASTN, 0.0, 99.5934959349593, 735, 738, 738, 1, 1096, 1833, 2
Xyl_3, F_1, lcl|scaffold87_1, BLASTN, 0.0, 99.3957703927493, 658, 683, 662, 22, 1, 661, 2
Xyl_3, R_1, lcl|scaffold14_1, BLASTN, 0.0, 98.6942328618063, 907, 924, 919, 7, 2736, 3648, 2
Xyl_4, F_1, lcl|scaffold177_1, BLASTN, 0.0, 97.8964401294498, 605, 641, 618, 23, 31954, 32570, 1
Xyl_4, R_1, lcl|scaffold177_1, BLASTN, 9e-74, 97.4842767295598, 155, 179, 159, 21, 12, 170, 1
lac100B, F_1, lcl|scaffold102_1, BLASTN, 0.0, 100, 647, 776, 647, 130, 16726, 17372, 2
lac100B, R_1, lcl|scaffold220_1, BLASTN, 9e-171, 100, 322, 331, 322, 1, 20, 341, 2
lac112W, F_1, lcl|scaffold26_1, BLASTN, 0.0, 97.5891996142719, 1012, 1186, 1037, 155, 9274, 10301, 2
lac112W, R_1, lcl|scaffold15_1, BLASTN, 0.0, 99.375, 636, 647, 640, 8, 13251, 13888, 2
lac121, F_1, lcl|scaffold128_1, BLASTN, 0.0, 98.3463035019455, 1011, 1166, 1028, 126, 1, 1018, 2
lac121, R_1, lcl|scaffold134_1, BLASTN, 0.0, 99.4094488188976, 505, 598, 508, 91, 1, 508, 2
lac127, F_1, lcl|scaffold75_1, BLASTN, 0.0, 99.5798319327731, 474, 607, 476, 131, 13625, 14099, 2
lac127, R_1, lcl|scaffold109_1, BLASTN, 0.0, 99.1935483870968, 738, 841, 744, 95, 1, 742, 2
lac13, F_1, lcl|scaffold259_1, BLASTN, 0.0, 99.1039426523297, 553, 684, 558, 124, 33618, 34172, 1
lac13, R_1, lcl|scaffold259_1, BLASTN, 0.0, 98.6425339366516, 654, 762, 663, 100, 1, 663, 1
lac193, F_1, lcl|scaffold135_1, BLASTN, 0.0, 100, 475, 601, 475, 127, 35441, 35915, 1
lac193, R_1, lcl|scaffold135_1, BLASTN, 0.0, 99.8290598290598, 584, 679, 585, 95, 1, 585, 1
lac20, F_1, lcl|scaffold15_1, BLASTN, 0.0, 99.1803278688525, 726, 734, 732, 3, 2322, 3051, 2
lac20, R_1, lcl|scaffold26_1, BLASTN, 0.0, 98.4407484407484, 947, 962, 962, 1, 20, 971, 2
lac224, F_1, lcl|scaffold9_1, BLASTN, 0.0, 100, 520, 644, 520, 125, 1, 520, 2
lac224, R_1, lcl|scaffold79_1, BLASTN, 7e-143, 100, 272, 368, 272, 97, 3988, 4259, 2
lac36W, F_1, lcl|scaffold58_1, BLASTN, 0.0, 94.6132596685083, 685, 723, 724, 1, 24, 745, 1
lac36W, R_1, lcl|scaffold58_1, BLASTN, 0.0, 98.9293361884368, 462, 467, 467, 1, 33865, 34329, 1
lac71, F_1, lcl|scaffold23_2, BLASTN, 0.0, 98.9333333333333, 371, 501, 375, 124, 3627, 3999, 2
lac71, R_1, lcl|scaffold15_1, BLASTN, 0.0, 99.2619926199262, 807, 814, 813, 1, 23256, 24063, 2
lac84, F_1, lcl|scaffold107_1, BLASTN, 0.0, 98.0836236933798, 563, 575, 574, 1, 23, 592, 1
lac84, R_1, lcl|scaffold107_1, BLASTN, 0.0, 99.7134670487106, 348, 406, 349, 58, 15391, 15739, 1
